state,beds_nonicu,util_nonicu,beds_icu,util_icu
Malaysia,35593,69.08380861405332,1083,54.93998153277931
Johor,3948,82.04154002026343,104,68.26923076923077
Kedah,2319,88.22768434670117,65,0.0
Kelantan,2700,77.85185185185185,75,65.33333333333333
Melaka,1277,80.42286609240408,56,80.35714285714286
Negeri Sembilan,1347,61.76688938381588,30,86.66666666666667
Pahang,2169,72.10696173351775,79,41.77215189873418
Perak,3289,70.62937062937063,95,67.36842105263158
Perlis,491,91.44602851323828,13,84.61538461538461
Pulau Pinang,1237,67.66370250606305,60,48.333333333333336
Sabah,4228,70.95553453169347,122,68.0327868852459
Sarawak,3427,64.05018967026554,144,48.61111111111111
Selangor,4808,29.471713810316142,146,50.0
Terengganu,1557,77.00706486833656,34,70.58823529411765
W.P. Kuala Lumpur,2095,84.00954653937947,34,0.0
W.P. Labuan,116,75.86206896551724,6,50.0
W.P. Putrajaya,585,87.35042735042735,20,70.0
