State,_id,Mid-Year Population 2018p 1 a,Live Births 2017 a,Infant Less than 1 year 1 a,Toddler Population 1 to 4 year 2018 1 a,Pre School Population 5 to 6 year 2018 1 a,0 to 6 Year 1 a,Primary School 7 to 12 year 1 a,Secondary School 13 to 17 year 1 a,Primary School 7 to 12 year 2,Secondary School 13 to 17 year 2,Estimated Number of Pregnant Mothers 2018 3 b,Estimated Number of Pregnant Mothers based on New Attendances to MCH 4 b,Population aged 18 year above 2018 1 a,Population aged 18 to 59 years 2018 1 a,Elderly Age 60 and above 2018 1 a
Johor,10,3781000,60098,60600,241200,118600,420400,345700,303300,330411,237983,63878,63532,2711900,2283000,428800
Kedah,2,2185200,34414,35100,144200,72600,251900,214100,178100,189989,142046,37043,31316,1540500,1268100,272500
Kelantan,13,1906700,36738,37400,154400,78900,270700,223800,175900,173380,137407,40456,25531,1236200,1041900,194300
Melaka,9,932700,14086,14100,57600,28400,100100,82800,72700,82285,61208,15141,13923,677500,559000,118500
Negeri Sembilan,8,1128800,17402,17500,70700,35200,123400,97100,93600,104342,81049,18695,19389,814200,669300,144900
Pahang,11,1678600,25776,25800,110300,56100,192200,166600,144400,148347,106354,27813,24399,1175700,985700,190000
Perak,4,2510300,32893,32800,136000,67800,236600,208200,202600,200888,161707,35766,30865,1862400,1465000,397400
Perlis,1,254900,4044,4200,17500,8400,30100,24300,19200,24036,18466,4360,3896,181100,146000,35100
Pulau Pinang,3,1773600,20146,20500,87000,44900,152400,134900,118800,129942,97425,21327,23958,1366900,1127600,239300
Sabah,15,3908500,52686,54600,241400,119700,415700,359800,374500,276441,185226,55898,44201,2758500,2519600,238900
Sarawak,16,2816500,36438,35700,150700,79600,266000,261400,246200,240249,178479,38970,33429,2043000,1709600,333400
Selangor,5,6538000,95211,94700,415600,213400,723700,590400,475700,538329,354328,99501,117456,4747800,4171900,575900
Terengganu,12,1259200,27010,26900,110700,52600,190200,145300,115500,136213,96815,29397,24372,808200,693000,115200
W.P.Labuan,14,99600,1665,1700,7200,3500,12400,10300,8400,9148,5641,1742,1939,68300,60500,7800
WP KL & Putrajaya,13,1883700,29350,28100,107100,55800,191000,151200,125500,151590,93545,30226,43014,1416600,1205800,210800
